competition,status,online_stage_end,leaderboard_snapshot,team_name,team_id,rank,team_count,score,last_submission_date,leaderboard_submission_count,best_submission,kaggle_ref,submission_date_utc
Handwritten to Data,Completed,2026-06-15 20:59:00 UTC,2026-06-17 12:02:07 UTC,Kun Zhang,15788479,36,199,0.82792,2026-06-15 04:11:03 UTC,1220,submission_1214_d38_src_u450_s500_a480_d520,53694476,2026-06-15T03:16:59.673Z
Handwritten to Data,Completed,2026-06-15 20:59:00 UTC,2026-06-17 12:02:07 UTC,Kun Zhang,15788479,36,199,0.82792,2026-06-15 04:11:03 UTC,1220,submission_1221_d38_src_u450_s500_a480_d530,53695588,2026-06-15T04:03:53.303Z
